state.code,income.bracket,average.math.score.of.bracket,average.verbal.score.of.bracket
PR,income.between.60.80k,449,470
PR,income.between.80.100k,469,489
PR,income.more.than.100k,496,503
RI,income.less.than.20k,422,425
RI,income.between.20.40k,461,464
RI,income.between.40.60k,496,490
RI,income.between.60.80k,501,501
RI,income.between.80.100k,512,507
RI,income.more.than.100k,546,540
SC,income.less.than.20k,439,432
SC,income.between.20.40k,463,456
SC,income.between.40.60k,491,484
SC,income.between.60.80k,505,495
SC,income.between.80.100k,524,514
SC,income.more.than.100k,534,521
SD,income.less.than.20k,253,269
SD,income.between.20.40k,535,565
SD,income.between.40.60k,590,601
SD,income.between.60.80k,590,605
SD,income.between.80.100k,609,591
SD,income.more.than.100k,596,606
TN,income.less.than.20k,526,526
TN,income.between.20.40k,529,535
TN,income.between.40.60k,548,561
TN,income.between.60.80k,559,573
TN,income.between.80.100k,570,574
TN,income.more.than.100k,583,586
TX,income.less.than.20k,446,428
TX,income.between.20.40k,472,457
TX,income.between.40.60k,496,483
TX,income.between.60.80k,511,497
TX,income.between.80.100k,527,513
TX,income.more.than.100k,549,533
UT,income.less.than.20k,544,549
UT,income.between.20.40k,542,542
UT,income.between.40.60k,560,560
UT,income.between.60.80k,565,564
UT,income.between.80.100k,563,564
UT,income.more.than.100k,563,569
VT,income.less.than.20k,479,470
VT,income.between.20.40k,488,490
VT,income.between.40.60k,509,513
VT,income.between.60.80k,519,512
VT,income.between.80.100k,522,520
VT,income.more.than.100k,558,550
VI,income.less.than.20k,359,391
VI,income.between.20.40k,387,415
VI,income.between.40.60k,398,435
VI,income.between.60.80k,458,469
VI,income.between.80.100k,468,481
VI,income.more.than.100k,493,494
VA,income.less.than.20k,442,437
VA,income.between.20.40k,461,464
VA,income.between.40.60k,489,491
VA,income.between.60.80k,504,506
VA,income.between.80.100k,522,524
VA,income.more.than.100k,548,547
WA,income.less.than.20k,479,466
WA,income.between.20.40k,497,492
WA,income.between.40.60k,518,516
WA,income.between.60.80k,526,522
WA,income.between.80.100k,537,531
WA,income.more.than.100k,552,547
WV,income.less.than.20k,465,482
WV,income.between.20.40k,488,498
WV,income.between.40.60k,495,513
WV,income.between.60.80k,511,516
WV,income.between.80.100k,513,519
WV,income.more.than.100k,530,540
WI,income.less.than.20k,530,493
WI,income.between.20.40k,543,540
WI,income.between.40.60k,592,584
WI,income.between.60.80k,600,589
WI,income.between.80.100k,607,599
WI,income.more.than.100k,616,605
WY,income.less.than.20k,243,262
WY,income.between.20.40k,529,556
WY,income.between.40.60k,562,577
WY,income.between.60.80k,582,565
WY,income.between.80.100k,570,567
WY,income.more.than.100k,593,584
AL,income.less.than.20k,476,479
AL,income.between.20.40k,543,557
AL,income.between.40.60k,560,573
AL,income.between.60.80k,571,579
AL,income.between.80.100k,575,582
AL,income.more.than.100k,608,603
AK,income.less.than.20k,464,475
AK,income.between.20.40k,519,519
AK,income.between.40.60k,528,533
AK,income.between.60.80k,538,527
AK,income.between.80.100k,531,515
AK,income.more.than.100k,542,545
AZ,income.less.than.20k,480,472
AZ,income.between.20.40k,509,506
AZ,income.between.40.60k,530,524
AZ,income.between.60.80k,540,532
AZ,income.between.80.100k,538,529
AZ,income.more.than.100k,553,538
AR,income.less.than.20k,526,527
AR,income.between.20.40k,573,570
AR,income.between.40.60k,562,575
AR,income.between.60.80k,561,590
AR,income.between.80.100k,574,592
AR,income.more.than.100k,595,598
CA,income.less.than.20k,456,439
CA,income.between.20.40k,500,489
CA,income.between.40.60k,529,516
CA,income.between.60.80k,539,526
CA,income.between.80.100k,545,532
CA,income.more.than.100k,565,552
CO,income.less.than.20k,533,525
CO,income.between.20.40k,555,553
CO,income.between.40.60k,567,563
CO,income.between.60.80k,571,563
CO,income.between.80.100k,578,569
CO,income.more.than.100k,583,568
CT,income.less.than.20k,437,438
CT,income.between.20.40k,487,490
CT,income.between.40.60k,519,512
CT,income.between.60.80k,536,528
CT,income.between.80.100k,538,536
CT,income.more.than.100k,574,562
DE,income.less.than.20k,435,437
DE,income.between.20.40k,481,481
DE,income.between.40.60k,511,509
DE,income.between.60.80k,527,526
DE,income.between.80.100k,536,537
DE,income.more.than.100k,573,566
DC,income.less.than.20k,371,385
DC,income.between.20.40k,425,444
DC,income.between.40.60k,510,532
DC,income.between.60.80k,542,548
DC,income.between.80.100k,542,560
DC,income.more.than.100k,623,633
FL,income.less.than.20k,449,452
FL,income.between.20.40k,493,495
FL,income.between.40.60k,517,513
FL,income.between.60.80k,526,520
FL,income.between.80.100k,527,523
FL,income.more.than.100k,551,542
GA,income.less.than.20k,439,439
GA,income.between.20.40k,482,485
GA,income.between.40.60k,510,508
GA,income.between.60.80k,525,519
GA,income.between.80.100k,532,525
GA,income.more.than.100k,552,545
HI,income.less.than.20k,457,439
HI,income.between.20.40k,485,470
HI,income.between.40.60k,509,487
HI,income.between.60.80k,523,494
HI,income.between.80.100k,518,511
HI,income.more.than.100k,544,518
ID,income.less.than.20k,513,516
ID,income.between.20.40k,532,535
ID,income.between.40.60k,549,543
ID,income.between.60.80k,562,553
ID,income.between.80.100k,549,548
ID,income.more.than.100k,551,551
IL,income.less.than.20k,523,505
IL,income.between.20.40k,585,570
IL,income.between.40.60k,608,591
IL,income.between.60.80k,616,598
IL,income.between.80.100k,617,598
IL,income.more.than.100k,624,602
IN,income.less.than.20k,465,459
IN,income.between.20.40k,501,491
IN,income.between.40.60k,524,507
IN,income.between.60.80k,534,517
IN,income.between.80.100k,540,527
IN,income.more.than.100k,553,539
IA,income.less.than.20k,573,544
IA,income.between.20.40k,600,591
IA,income.between.40.60k,623,612
IA,income.between.60.80k,630,633
IA,income.between.80.100k,646,642
IA,income.more.than.100k,621,625
KS,income.less.than.20k,550,544
KS,income.between.20.40k,576,571
KS,income.between.40.60k,590,585
KS,income.between.60.80k,591,584
KS,income.between.80.100k,598,590
KS,income.more.than.100k,608,597
KY,income.less.than.20k,526,526
KY,income.between.20.40k,560,562
KY,income.between.40.60k,571,567
KY,income.between.60.80k,577,578
KY,income.between.80.100k,573,577
KY,income.more.than.100k,582,578
LA,income.less.than.20k,500,495
LA,income.between.20.40k,552,562
LA,income.between.40.60k,567,570
LA,income.between.60.80k,578,577
LA,income.between.80.100k,600,592
LA,income.more.than.100k,599,593
ME,income.less.than.20k,454,461
ME,income.between.20.40k,495,497
ME,income.between.40.60k,520,513
ME,income.between.60.80k,538,525
ME,income.between.80.100k,509,506
ME,income.more.than.100k,545,547
MD,income.less.than.20k,431,429
MD,income.between.20.40k,481,479
MD,income.between.40.60k,519,515
MD,income.between.60.80k,534,526
MD,income.between.80.100k,542,536
MD,income.more.than.100k,572,559
MA,income.less.than.20k,462,445
MA,income.between.20.40k,503,496
MA,income.between.40.60k,529,517
MA,income.between.60.80k,542,532
MA,income.between.80.100k,548,539
MA,income.more.than.100k,583,570
MI,income.less.than.20k,542,524
MI,income.between.20.40k,576,570
MI,income.between.40.60k,601,580
MI,income.between.60.80k,602,587
MI,income.between.80.100k,611,597
MI,income.more.than.100k,617,600
MN,income.less.than.20k,577,542
MN,income.between.20.40k,591,587
MN,income.between.40.60k,604,596
MN,income.between.60.80k,616,604
MN,income.between.80.100k,617,600
MN,income.more.than.100k,623,608
MS,income.less.than.20k,493,515
MS,income.between.20.40k,535,564
MS,income.between.40.60k,564,573
MS,income.between.60.80k,588,601
MS,income.between.80.100k,556,557
MS,income.more.than.100k,585,601
MO,income.less.than.20k,542,528
MO,income.between.20.40k,586,588
MO,income.between.40.60k,595,591
MO,income.between.60.80k,609,600
MO,income.between.80.100k,610,607
MO,income.more.than.100k,609,599
MT,income.less.than.20k,524,514
MT,income.between.20.40k,542,537
MT,income.between.40.60k,555,547
MT,income.between.60.80k,541,544
MT,income.between.80.100k,576,546
MT,income.more.than.100k,562,540
NE,income.less.than.20k,538,525
NE,income.between.20.40k,564,568
NE,income.between.40.60k,597,584
NE,income.between.60.80k,612,613
NE,income.between.80.100k,599,584
NE,income.more.than.100k,620,607
NV,income.less.than.20k,467,461
NV,income.between.20.40k,495,487
NV,income.between.40.60k,516,508
NV,income.between.60.80k,518,508
NV,income.between.80.100k,512,513
NV,income.more.than.100k,538,533
NH,income.less.than.20k,478,484
NH,income.between.20.40k,505,504
NH,income.between.40.60k,522,517
NH,income.between.60.80k,536,529
NH,income.between.80.100k,537,540
NH,income.more.than.100k,564,548
NJ,income.less.than.20k,442,423
NJ,income.between.20.40k,492,478
NJ,income.between.40.60k,521,504
NJ,income.between.60.80k,534,517
NJ,income.between.80.100k,547,525
NJ,income.more.than.100k,574,552
NM,income.less.than.20k,514,510
NM,income.between.20.40k,522,539
NM,income.between.40.60k,547,559
NM,income.between.60.80k,573,574
NM,income.between.80.100k,558,578
NM,income.more.than.100k,581,586
NY,income.less.than.20k,455,437
NY,income.between.20.40k,497,486
NY,income.between.40.60k,523,507
NY,income.between.60.80k,533,515
NY,income.between.80.100k,539,523
NY,income.more.than.100k,570,550
NC,income.less.than.20k,454,441
NC,income.between.20.40k,504,487
NC,income.between.40.60k,530,514
NC,income.between.60.80k,543,525
NC,income.between.80.100k,551,534
NC,income.more.than.100k,568,551
ND,income.less.than.20k,275,291
ND,income.between.20.40k,590,594
ND,income.between.40.60k,603,618
ND,income.between.60.80k,551,570
ND,income.between.80.100k,570,596
ND,income.more.than.100k,574,594
OH,income.less.than.20k,475,474
OH,income.between.20.40k,528,523
OH,income.between.40.60k,551,538
OH,income.between.60.80k,559,545
OH,income.between.80.100k,562,547
OH,income.more.than.100k,574,559
OK,income.less.than.20k,546,533
OK,income.between.20.40k,556,565
OK,income.between.40.60k,578,583
OK,income.between.60.80k,560,560
OK,income.between.80.100k,587,585
OK,income.more.than.100k,598,594
OR,income.less.than.20k,484,481
OR,income.between.20.40k,520,520
OR,income.between.40.60k,539,532
OR,income.between.60.80k,543,538
OR,income.between.80.100k,546,538
OR,income.more.than.100k,557,548
PA,income.less.than.20k,450,447
PA,income.between.20.40k,494,489
PA,income.between.40.60k,518,509
PA,income.between.60.80k,534,523
PA,income.between.80.100k,540,531
PA,income.more.than.100k,565,550
PR,income.less.than.20k,411,414
PR,income.between.20.40k,450,453
PR,income.between.40.60k,485,484
PR,income.between.60.80k,469,476
PR,income.between.80.100k,481,498
PR,income.more.than.100k,508,496
RI,income.less.than.20k,438,436
RI,income.between.20.40k,487,488
RI,income.between.40.60k,522,515
RI,income.between.60.80k,531,527
RI,income.between.80.100k,546,540
RI,income.more.than.100k,567,559
SC,income.less.than.20k,442,434
SC,income.between.20.40k,495,486
SC,income.between.40.60k,522,510
SC,income.between.60.80k,529,516
SC,income.between.80.100k,529,514
SC,income.more.than.100k,540,534
SD,income.less.than.20k,512,532
SD,income.between.20.40k,603,609
SD,income.between.40.60k,623,628
SD,income.between.60.80k,568,605
SD,income.between.80.100k,586,609
SD,income.more.than.100k,584,608
TN,income.less.than.20k,515,522
TN,income.between.20.40k,554,562
TN,income.between.40.60k,570,576
TN,income.between.60.80k,577,583
TN,income.between.80.100k,579,579
TN,income.more.than.100k,583,576
TX,income.less.than.20k,454,437
TX,income.between.20.40k,499,486
TX,income.between.40.60k,529,512
TX,income.between.60.80k,543,526
TX,income.between.80.100k,548,531
TX,income.more.than.100k,566,546
UT,income.less.than.20k,498,497
UT,income.between.20.40k,555,561
UT,income.between.40.60k,567,570
UT,income.between.60.80k,548,560
UT,income.between.80.100k,578,573
UT,income.more.than.100k,549,564
VT,income.less.than.20k,487,490
VT,income.between.20.40k,518,514
VT,income.between.40.60k,535,527
VT,income.between.60.80k,561,552
VT,income.between.80.100k,553,531
VT,income.more.than.100k,585,562
VI,income.less.than.20k,362,390
VI,income.between.20.40k,400,420
VI,income.between.40.60k,463,496
VI,income.between.60.80k,249,232
VI,income.between.80.100k,490,542
VI,income.more.than.100k,0,0
VA,income.less.than.20k,449,447
VA,income.between.20.40k,492,494
VA,income.between.40.60k,521,521
VA,income.between.60.80k,540,541
VA,income.between.80.100k,548,547
VA,income.more.than.100k,569,562
WA,income.less.than.20k,485,472
WA,income.between.20.40k,521,518
WA,income.between.40.60k,541,534
WA,income.between.60.80k,548,542
WA,income.between.80.100k,557,548
WA,income.more.than.100k,570,561
WV,income.less.than.20k,477,490
WV,income.between.20.40k,491,502
WV,income.between.40.60k,510,517
WV,income.between.60.80k,518,527
WV,income.between.80.100k,522,521
WV,income.more.than.100k,532,543
WI,income.less.than.20k,541,525
WI,income.between.20.40k,585,573
WI,income.between.40.60k,617,597
WI,income.between.60.80k,620,606
WI,income.between.80.100k,616,590
WI,income.more.than.100k,621,603
WY,income.less.than.20k,521,519
WY,income.between.20.40k,568,550
WY,income.between.40.60k,595,604
WY,income.between.60.80k,553,579
WY,income.between.80.100k,548,514
WY,income.more.than.100k,568,581
AL,income.less.than.20k,468,489
AL,income.between.20.40k,533,541
AL,income.between.40.60k,560,564
AL,income.between.60.80k,565,567
AL,income.between.80.100k,585,583
AL,income.more.than.100k,596,590
AK,income.less.than.20k,468,489
AK,income.between.20.40k,533,541
AK,income.between.40.60k,560,564
AK,income.between.60.80k,565,567
AK,income.between.80.100k,585,583
AK,income.more.than.100k,596,590
AZ,income.less.than.20k,478,474
AZ,income.between.20.40k,508,507
AZ,income.between.40.60k,530,524
AZ,income.between.60.80k,544,537
AZ,income.between.80.100k,547,537
AZ,income.more.than.100k,561,552
AR,income.less.than.20k,528,519
AR,income.between.20.40k,565,565
AR,income.between.40.60k,575,584
AR,income.between.60.80k,593,598
AR,income.between.80.100k,581,587
AR,income.more.than.100k,605,593
CA,income.less.than.20k,458,444
CA,income.between.20.40k,504,494
CA,income.between.40.60k,537,525
CA,income.between.60.80k,549,535
CA,income.between.80.100k,555,543
CA,income.more.than.100k,581,565
CO,income.less.than.20k,526,519
CO,income.between.20.40k,557,554
CO,income.between.40.60k,573,570
CO,income.between.60.80k,588,576
CO,income.between.80.100k,582,572
CO,income.more.than.100k,591,580
CT,income.less.than.20k,436,437
CT,income.between.20.40k,489,489
CT,income.between.40.60k,519,516
CT,income.between.60.80k,537,529
CT,income.between.80.100k,544,539
CT,income.more.than.100k,590,575
DE,income.less.than.20k,440,437
DE,income.between.20.40k,482,480
DE,income.between.40.60k,512,511
DE,income.between.60.80k,527,519
DE,income.between.80.100k,530,539
DE,income.more.than.100k,576,563
DC,income.less.than.20k,373,384
DC,income.between.20.40k,418,441
DC,income.between.40.60k,484,508
DC,income.between.60.80k,534,551
DC,income.between.80.100k,591,611
DC,income.more.than.100k,614,632
FL,income.less.than.20k,450,453
FL,income.between.20.40k,498,499
FL,income.between.40.60k,520,517
FL,income.between.60.80k,528,524
FL,income.between.80.100k,534,531
FL,income.more.than.100k,553,547
GA,income.less.than.20k,437,438
GA,income.between.20.40k,482,484
GA,income.between.40.60k,513,512
GA,income.between.60.80k,531,525
GA,income.between.80.100k,539,532
GA,income.more.than.100k,563,553
HI,income.less.than.20k,459,440
HI,income.between.20.40k,485,467
HI,income.between.40.60k,516,491
HI,income.between.60.80k,530,500
HI,income.between.80.100k,528,499
HI,income.more.than.100k,549,524
ID,income.less.than.20k,521,517
ID,income.between.20.40k,531,537
ID,income.between.40.60k,548,549
ID,income.between.60.80k,560,557
ID,income.between.80.100k,556,548
ID,income.more.than.100k,565,556
IL,income.less.than.20k,532,510
IL,income.between.20.40k,582,569
IL,income.between.40.60k,613,598
IL,income.between.60.80k,614,602
IL,income.between.80.100k,621,608
IL,income.more.than.100k,627,609
IN,income.less.than.20k,462,458
IN,income.between.20.40k,500,489
IN,income.between.40.60k,522,506
IN,income.between.60.80k,537,520
IN,income.between.80.100k,543,530
IN,income.more.than.100k,561,545
IA,income.less.than.20k,575,547
IA,income.between.20.40k,606,608
IA,income.between.40.60k,622,614
IA,income.between.60.80k,617,628
IA,income.between.80.100k,621,614
IA,income.more.than.100k,624,619
KS,income.less.than.20k,563,525
KS,income.between.20.40k,573,576
KS,income.between.40.60k,600,593
KS,income.between.60.80k,586,589
KS,income.between.80.100k,592,586
KS,income.more.than.100k,610,592
KY,income.less.than.20k,539,532
KY,income.between.20.40k,556,563
KY,income.between.40.60k,572,568
KY,income.between.60.80k,588,588
KY,income.between.80.100k,580,584
KY,income.more.than.100k,587,586
LA,income.less.than.20k,484,485
LA,income.between.20.40k,543,550
LA,income.between.40.60k,568,578
LA,income.between.60.80k,573,576
LA,income.between.80.100k,569,578
LA,income.more.than.100k,595,601
ME,income.less.than.20k,442,452
ME,income.between.20.40k,483,486
ME,income.between.40.60k,514,507
ME,income.between.60.80k,521,514
ME,income.between.80.100k,531,521
ME,income.more.than.100k,547,534
MD,income.less.than.20k,432,434
MD,income.between.20.40k,482,483
MD,income.between.40.60k,523,517
MD,income.between.60.80k,537,532
MD,income.between.80.100k,552,543
MD,income.more.than.100k,580,569
MA,income.less.than.20k,463,446
MA,income.between.20.40k,504,496
MA,income.between.40.60k,533,522
MA,income.between.60.80k,553,537
MA,income.between.80.100k,568,556
MA,income.more.than.100k,595,579
MI,income.less.than.20k,541,512
MI,income.between.20.40k,581,570
MI,income.between.40.60k,608,587
MI,income.between.60.80k,608,591
MI,income.between.80.100k,622,609
MI,income.more.than.100k,617,595
MN,income.less.than.20k,558,518
MN,income.between.20.40k,590,581
MN,income.between.40.60k,610,605
MN,income.between.60.80k,618,610
MN,income.between.80.100k,619,611
MN,income.more.than.100k,628,612
MS,income.less.than.20k,494,496
MS,income.between.20.40k,550,569
MS,income.between.40.60k,563,576
MS,income.between.60.80k,564,575
MS,income.between.80.100k,576,586
MS,income.more.than.100k,602,599
MO,income.less.than.20k,556,536
MO,income.between.20.40k,586,584
MO,income.between.40.60k,600,604
MO,income.between.60.80k,616,608
MO,income.between.80.100k,617,609
MO,income.more.than.100k,620,611
MT,income.less.than.20k,518,521
MT,income.between.20.40k,544,538
MT,income.between.40.60k,545,542
MT,income.between.60.80k,549,544
MT,income.between.80.100k,524,543
MT,income.more.than.100k,585,563
NE,income.less.than.20k,541,524
NE,income.between.20.40k,595,592
NE,income.between.40.60k,590,585
NE,income.between.60.80k,606,603
NE,income.between.80.100k,599,595
NE,income.more.than.100k,611,595
NV,income.less.than.20k,470,465
NV,income.between.20.40k,499,497
NV,income.between.40.60k,517,514
NV,income.between.60.80k,516,518
NV,income.between.80.100k,536,530
NV,income.more.than.100k,538,530
NH,income.less.than.20k,481,485
NH,income.between.20.40k,503,506
NH,income.between.40.60k,522,520
NH,income.between.60.80k,537,532
NH,income.between.80.100k,548,546
NH,income.more.than.100k,577,566
NJ,income.less.than.20k,444,426
NJ,income.between.20.40k,495,480
NJ,income.between.40.60k,521,505
NJ,income.between.60.80k,538,519
NJ,income.between.80.100k,552,531
NJ,income.more.than.100k,580,559
NM,income.less.than.20k,494,494
NM,income.between.20.40k,527,534
NM,income.between.40.60k,553,559
NM,income.between.60.80k,570,579
NM,income.between.80.100k,571,587
NM,income.more.than.100k,587,578
NY,income.less.than.20k,457,436
NY,income.between.20.40k,500,486
NY,income.between.40.60k,527,509
NY,income.between.60.80k,538,520
NY,income.between.80.100k,546,527
NY,income.more.than.100k,583,567
NC,income.less.than.20k,456,441
NC,income.between.20.40k,506,490
NC,income.between.40.60k,535,517
NC,income.between.60.80k,551,532
NC,income.between.80.100k,555,540
NC,income.more.than.100k,580,561
ND,income.less.than.20k,501,526
ND,income.between.20.40k,605,600
ND,income.between.40.60k,585,584
ND,income.between.60.80k,579,604
ND,income.between.80.100k,573,611
ND,income.more.than.100k,627,617
OH,income.less.than.20k,476,475
OH,income.between.20.40k,528,525
OH,income.between.40.60k,555,543
OH,income.between.60.80k,557,546
OH,income.between.80.100k,573,559
OH,income.more.than.100k,588,568
OK,income.less.than.20k,534,538
OK,income.between.20.40k,560,565
OK,income.between.40.60k,575,587
OK,income.between.60.80k,580,579
OK,income.between.80.100k,575,574
OK,income.more.than.100k,588,591
OR,income.less.than.20k,481,481
OR,income.between.20.40k,516,514
OR,income.between.40.60k,537,534
OR,income.between.60.80k,554,547
OR,income.between.80.100k,553,551
OR,income.more.than.100k,569,563
PA,income.less.than.20k,450,444
PA,income.between.20.40k,493,486
PA,income.between.40.60k,521,511
PA,income.between.60.80k,536,522
PA,income.between.80.100k,547,537
PA,income.more.than.100k,573,558
RI,income.less.than.20k,440,440
RI,income.between.20.40k,493,496
RI,income.between.40.60k,519,516
RI,income.between.60.80k,529,534
RI,income.between.80.100k,545,547
RI,income.more.than.100k,569,562
SC,income.less.than.20k,444,435
SC,income.between.20.40k,493,484
SC,income.between.40.60k,524,511
SC,income.between.60.80k,539,524
SC,income.between.80.100k,540,521
SC,income.more.than.100k,553,545
SD,income.less.than.20k,548,564
SD,income.between.20.40k,581,571
SD,income.between.40.60k,609,605
SD,income.between.60.80k,276,294
SD,income.between.80.100k,584,616
SD,income.more.than.100k,603,637
TN,income.less.than.20k,506,508
TN,income.between.20.40k,543,562
TN,income.between.40.60k,567,575
TN,income.between.60.80k,589,593
TN,income.between.80.100k,581,590
TN,income.more.than.100k,592,588
TX,income.less.than.20k,458,436
TX,income.between.20.40k,502,485
TX,income.between.40.60k,533,514
TX,income.between.60.80k,547,525
TX,income.between.80.100k,553,536
TX,income.more.than.100k,574,552
UT,income.less.than.20k,517,529
UT,income.between.20.40k,553,561
UT,income.between.40.60k,577,583
UT,income.between.60.80k,566,571
UT,income.between.80.100k,566,561
UT,income.more.than.100k,562,561
VT,income.less.than.20k,478,479
VT,income.between.20.40k,508,510
VT,income.between.40.60k,536,538
VT,income.between.60.80k,542,546
VT,income.between.80.100k,570,580
VT,income.more.than.100k,557,556
VA,income.less.than.20k,449,448
VA,income.between.20.40k,490,493
VA,income.between.40.60k,524,524
VA,income.between.60.80k,541,541
VA,income.between.80.100k,549,548
VA,income.more.than.100k,575,569
WA,income.less.than.20k,479,470
WA,income.between.20.40k,521,517
WA,income.between.40.60k,543,536
WA,income.between.60.80k,554,545
WA,income.between.80.100k,557,552
WA,income.more.than.100k,571,560
WV,income.less.than.20k,455,476
WV,income.between.20.40k,490,505
WV,income.between.40.60k,509,511
WV,income.between.60.80k,521,526
WV,income.between.80.100k,529,533
WV,income.more.than.100k,572,563
WI,income.less.than.20k,558,528
WI,income.between.20.40k,596,586
WI,income.between.40.60k,609,599
WI,income.between.60.80k,619,608
WI,income.between.80.100k,618,611
WI,income.more.than.100k,629,599
WY,income.less.than.20k,267,263
WY,income.between.20.40k,557,563
WY,income.between.40.60k,572,565
WY,income.between.60.80k,534,544
WY,income.between.80.100k,520,526
WY,income.more.than.100k,599,628
AL,income.less.than.20k,445,452
AL,income.between.20.40k,490,501
AL,income.between.40.60k,516,530
AL,income.between.60.80k,534,549
AL,income.between.80.100k,563,575
AL,income.more.than.100k,581,581
AK,income.less.than.20k,450,460
AK,income.between.20.40k,485,496
AK,income.between.40.60k,500,498
AK,income.between.60.80k,508,519
AK,income.between.80.100k,516,526
AK,income.more.than.100k,545,540
AZ,income.less.than.20k,472,463
AZ,income.between.20.40k,491,487
AZ,income.between.40.60k,506,505
AZ,income.between.60.80k,523,519
AZ,income.between.80.100k,531,525
AZ,income.more.than.100k,553,542
AR,income.less.than.20k,510,489
AR,income.between.20.40k,530,523
AR,income.between.40.60k,546,549
AR,income.between.60.80k,562,563
AR,income.between.80.100k,574,578
AR,income.more.than.100k,591,591
CA,income.less.than.20k,457,436
CA,income.between.20.40k,477,461
CA,income.between.40.60k,501,488
CA,income.between.60.80k,520,508
CA,income.between.80.100k,537,525
CA,income.more.than.100k,563,550
CO,income.less.than.20k,507,498
CO,income.between.20.40k,532,539
CO,income.between.40.60k,550,551
CO,income.between.60.80k,558,558
CO,income.between.80.100k,574,569
CO,income.more.than.100k,586,578
CT,income.less.than.20k,426,424
CT,income.between.20.40k,457,458
CT,income.between.40.60k,482,480
CT,income.between.60.80k,498,498
CT,income.between.80.100k,518,514
CT,income.more.than.100k,551,542
DE,income.less.than.20k,436,430
DE,income.between.20.40k,449,449
DE,income.between.40.60k,476,478
DE,income.between.60.80k,493,488
DE,income.between.80.100k,506,503
DE,income.more.than.100k,535,534
DC,income.less.than.20k,377,384
DC,income.between.20.40k,399,406
DC,income.between.40.60k,413,431
DC,income.between.60.80k,441,451
DC,income.between.80.100k,505,525
DC,income.more.than.100k,566,580
FL,income.less.than.20k,441,442
FL,income.between.20.40k,473,474
FL,income.between.40.60k,495,496
FL,income.between.60.80k,508,508
FL,income.between.80.100k,521,516
FL,income.more.than.100k,541,534
GA,income.less.than.20k,429,427
GA,income.between.20.40k,454,456
GA,income.between.40.60k,476,479
GA,income.between.60.80k,493,494
GA,income.between.80.100k,511,510
GA,income.more.than.100k,540,534
HI,income.less.than.20k,462,441
HI,income.between.20.40k,475,460
HI,income.between.40.60k,484,468
HI,income.between.60.80k,495,473
HI,income.between.80.100k,515,492
HI,income.more.than.100k,550,523
ID,income.less.than.20k,513,519
ID,income.between.20.40k,515,522
ID,income.between.40.60k,529,533
ID,income.between.60.80k,542,549
ID,income.between.80.100k,556,552
ID,income.more.than.100k,566,559
IL,income.less.than.20k,471,462
IL,income.between.20.40k,529,518
IL,income.between.40.60k,571,554
IL,income.between.60.80k,584,573
IL,income.between.80.100k,610,595
IL,income.more.than.100k,629,614
IN,income.less.than.20k,446,443
IN,income.between.20.40k,476,469
IN,income.between.40.60k,495,485
IN,income.between.60.80k,508,496
IN,income.between.80.100k,519,504
IN,income.more.than.100k,545,528
IA,income.less.than.20k,558,503
IA,income.between.20.40k,548,554
IA,income.between.40.60k,625,604
IA,income.between.60.80k,594,605
IA,income.between.80.100k,631,614
IA,income.more.than.100k,627,621
KS,income.less.than.20k,549,509
KS,income.between.20.40k,556,541
KS,income.between.40.60k,585,586
KS,income.between.60.80k,566,570
KS,income.between.80.100k,615,612
KS,income.more.than.100k,618,615
KY,income.less.than.20k,536,524
KY,income.between.20.40k,538,531
KY,income.between.40.60k,549,553
KY,income.between.60.80k,560,568
KY,income.between.80.100k,572,578
KY,income.more.than.100k,587,591
LA,income.less.than.20k,470,461
LA,income.between.20.40k,496,502
LA,income.between.40.60k,517,529
LA,income.between.60.80k,527,542
LA,income.between.80.100k,552,568
LA,income.more.than.100k,575,577
ME,income.less.than.20k,434,441
ME,income.between.20.40k,471,483
ME,income.between.40.60k,492,495
ME,income.between.60.80k,507,510
ME,income.between.80.100k,515,512
ME,income.more.than.100k,539,536
MD,income.less.than.20k,431,425
MD,income.between.20.40k,456,453
MD,income.between.40.60k,477,476
MD,income.between.60.80k,501,497
MD,income.between.80.100k,516,509
MD,income.more.than.100k,549,540
MA,income.less.than.20k,453,430
MA,income.between.20.40k,483,467
MA,income.between.40.60k,505,492
MA,income.between.60.80k,516,507
MA,income.between.80.100k,532,519
MA,income.more.than.100k,565,549
MI,income.less.than.20k,528,496
MI,income.between.20.40k,546,525
MI,income.between.40.60k,576,555
MI,income.between.60.80k,591,582
MI,income.between.80.100k,602,582
MI,income.more.than.100k,621,600
MN,income.less.than.20k,540,504
MN,income.between.20.40k,556,545
MN,income.between.40.60k,580,563
MN,income.between.60.80k,579,571
MN,income.between.80.100k,609,607
MN,income.more.than.100k,619,607
MS,income.less.than.20k,454,464
MS,income.between.20.40k,512,525
MS,income.between.40.60k,531,557
MS,income.between.60.80k,538,560
MS,income.between.80.100k,565,587
MS,income.more.than.100k,582,603
MO,income.less.than.20k,531,506
MO,income.between.20.40k,538,542
MO,income.between.40.60k,570,580
MO,income.between.60.80k,574,583
MO,income.between.80.100k,591,587
MO,income.more.than.100k,608,608
MT,income.less.than.20k,507,513
MT,income.between.20.40k,514,525
MT,income.between.40.60k,535,530
MT,income.between.60.80k,541,541
MT,income.between.80.100k,548,539
MT,income.more.than.100k,559,552
NE,income.less.than.20k,527,541
NE,income.between.20.40k,571,571
NE,income.between.40.60k,581,566
